experimento,n,W,instancia_id,algoritmo,tempo_seg,lucro_max,itens
2,900,100,8,BB,0.250784,16787,"[6,94,175,204,261,269,317,323,328,329,365,378,405,409,548,551,568,582,601,719,736,740,822,843,898]"
2,500,100,9,BB,0.372684,17324,"[9,74,83,89,110,116,125,127,134,139,153,161,172,219,224,246,247,248,300,319,391,420,432,450,467,479,485]"
2,1100,100,1,BB,0.00808672,13655,"[22,52,291,293,427,492,493,495,497,527,533,577,710,781,821,830,882,918,928]"
2,900,100,4,BB,0.0184827,11895,"[21,202,204,212,213,325,333,388,401,422,440,527,584,592,656,795,843,848,853]"
2,100,100,7,BB,0.0274261,16669,"[7,9,12,19,30,33,40,43,49,50,51,53,57,58,59,62,63,71,75,76,79]"
2,600,100,7,BB,0.0438191,13976,"[32,86,90,133,147,150,171,210,251,276,327,341,381,390,422,442,470,492,495,504,578]"
2,700,100,9,BB,0.256462,16589,"[38,80,107,110,116,130,143,165,170,175,180,283,311,319,344,383,406,412,441,460,499,517,579,692,697]"
2,1000,100,8,BB,0.363029,15514,"[11,14,72,90,100,209,220,259,370,442,562,590,597,600,690,723,733,750,778,790,794,795,817,827,848,851,987]"
2,1000,100,10,BB,0.075391,15263,"[33,53,62,106,168,181,192,234,303,328,492,541,544,566,672,756,828,859,912,930,933,935,984]"
2,500,100,5,BB,0.131692,16306,"[23,41,42,75,106,171,198,230,235,268,304,322,345,358,362,368,387,424,429,448,452,465,471,478,482]"
2,100,100,5,BB,0.0592406,16605,"[2,3,5,10,18,20,30,36,37,41,42,43,47,49,55,58,64,66,74,80,84,87,95]"
2,300,100,9,BB,0.0207154,15719,"[1,7,14,18,25,28,33,48,57,66,113,130,132,137,169,189,222,261,271,289,295]"
2,600,100,9,BB,0.689192,18422,"[0,8,15,25,60,65,89,111,144,149,179,184,194,204,209,210,220,274,286,287,326,362,364,365,432,454,466]"
2,600,100,6,BB,0.0156103,13280,"[9,22,59,67,154,155,161,193,220,305,330,341,343,371,381,387,393,477,511]"
2,200,100,1,BB,0.0594058,13143,"[1,3,9,10,18,34,35,42,57,60,82,94,103,113,129,137,142,144,145,147,176,182,185]"
2,600,100,2,BB,0.0351824,14406,"[0,55,64,150,162,225,237,242,251,254,321,364,376,393,410,418,446,475,549,595,598]"
2,100,100,2,BB,0.0233342,14012,"[0,2,8,15,20,24,28,36,37,38,40,41,42,54,55,61,76,83,88,91,92]"
