experimento,n,W,instancia_id,algoritmo,tempo_seg,lucro_max,itens
2,100,100,1,Backtracking,4.6165e-05,17021,"[3,11,13,14,18,22,25,30,36,37,39,40,49,53,56,61,64,76,77,80,81,86,89,90]"
2,100,100,2,Backtracking,3.2895e-05,15223,"[8,9,11,14,16,18,19,24,26,30,35,43,47,48,50,52,58,60,80,87,90,91,95]"
2,100,100,3,Backtracking,5.6641e-05,16539,"[11,12,14,15,27,29,30,31,36,37,43,45,48,54,65,70,74,84,91,96,98,99]"
2,100,100,4,Backtracking,7.2634e-05,16866,"[3,5,9,10,14,17,23,32,34,37,39,41,43,44,49,56,65,75,81,87,90,92,98,99]"
2,100,100,5,Backtracking,6.4882e-05,15807,"[5,8,17,19,22,33,42,45,46,47,48,64,70,71,76,79,84,85,88,89,90,91]"
2,100,100,6,Backtracking,6.7117e-05,17254,"[1,4,7,8,15,20,24,31,34,36,41,42,48,58,61,76,84,85,86,88,89,91,95,97]"
2,100,100,7,Backtracking,3.4641e-05,17356,"[0,7,10,14,16,17,21,26,27,32,34,37,42,47,49,53,61,64,65,68,74,75,92,95]"
2,100,100,8,Backtracking,3.0311e-05,11197,"[0,3,5,10,11,18,27,46,60,68,73,75,76,79,84,92,96,98]"
2,100,100,9,Backtracking,6.1041e-05,13101,"[4,8,12,19,20,26,27,32,41,52,54,56,60,61,62,65,68,76,82,89,97,99]"
2,200,200,1,Backtracking,4.6724e-05,20568,"[14,16,22,24,28,29,33,40,50,57,74,80,85,86,90,102,105,114,118,121,122,125,126,147,177,180,184,186,188]"
2,200,200,2,Backtracking,4.7282e-05,18067,"[11,12,17,19,25,29,42,43,66,84,93,106,111,116,120,121,126,127,133,136,152,153,163,176,178,192,194]"
2,200,200,3,Backtracking,7.0051e-05,22909,"[2,9,19,27,30,34,37,38,43,56,57,59,68,69,74,75,85,101,108,125,133,145,151,156,162,164,172,186,197]"
2,200,200,4,Backtracking,9.0653e-05,21023,"[42,51,59,65,68,71,79,80,81,98,101,103,112,119,123,129,133,134,137,142,153,160,176,187,188,190,197,199]"
