experimento,n,W,instancia_id,algoritmo,tempo_seg,lucro_max,itens
1,100,100,1,BranchAndBound,0.228406,15309,"[13,17,18,24,26,27,29,32,34,37,43,45,46,52,60,62,65,67,70,73,74,81,84,99]"
1,100,100,2,BranchAndBound,0.036844,14111,"[11,17,18,26,27,32,37,40,42,43,45,49,51,53,61,67,74,76,77,79,85,90]"
1,100,100,3,BranchAndBound,0.262779,15681,"[0,1,3,11,16,17,22,23,40,42,45,46,47,49,53,60,63,70,81,83,86,88,90,95]"
1,100,100,4,BranchAndBound,0.411577,14686,"[3,8,10,21,29,32,35,36,39,41,50,51,55,57,58,74,87,88,94,97,98]"
1,100,100,5,BranchAndBound,0.0707114,15108,"[0,3,15,21,27,29,32,38,50,52,56,59,82,83,84,89,90,91,96,97,98]"
1,100,100,6,BranchAndBound,0.02521,15098,"[3,6,14,19,22,24,26,28,52,57,58,59,64,65,69,70,72,81,92,93,94,98]"
1,100,100,7,BranchAndBound,0.442984,13256,"[12,15,20,21,24,38,40,53,57,59,60,67,69,72,73,79,80,81,92,94,95]"
1,100,100,8,BranchAndBound,0.0142858,11749,"[4,5,17,23,26,28,48,49,54,63,75,77,81,82,83,88,94]"
1,100,100,9,BranchAndBound,0.0418705,13739,"[8,10,11,20,22,23,30,42,43,44,49,52,60,65,69,82,85,95]"
1,200,200,1,BranchAndBound,0.350615,14417,"[6,12,22,37,47,51,55,93,95,98,113,116,150,158,159,170,175,181,184,196]"
1,200,200,2,BranchAndBound,0.361303,15093,"[2,6,17,22,24,37,41,67,70,78,81,88,92,145,152,162,173,174,183,190]"
1,200,200,3,BranchAndBound,0.409509,12339,"[8,11,15,24,34,36,53,67,70,80,85,95,120,135,154,163,164,165,190,198]"
1,200,200,4,BranchAndBound,0.357993,11909,"[22,31,37,41,68,70,89,93,109,126,138,143,156,167,177,179,182,183,190,198]"
1,200,200,5,BranchAndBound,0.379408,15689,"[1,5,25,26,36,45,49,59,94,97,111,117,119,128,137,143,148,151,171,174]"
1,200,200,6,BranchAndBound,0.376848,15777,"[4,16,32,53,55,62,65,71,83,110,120,132,145,148,157,165,166,168,169,199]"
1,200,200,7,BranchAndBound,0.417531,13519,"[11,14,18,33,48,83,84,101,104,119,139,143,148,153,162,164,175,177,178,198]"
1,200,200,8,BranchAndBound,0.442834,13178,"[11,19,33,36,37,52,53,54,57,60,72,80,84,89,90,92,100,148,173,197]"
1,200,200,9,BranchAndBound,0.321086,14908,"[9,17,23,40,42,67,76,81,87,98,120,121,123,125,129,155,169,178,183,185,192]"
1,200,200,10,BranchAndBound,0.414765,14438,"[0,18,19,21,22,26,27,35,66,68,75,95,99,102,121,143,175,185,186,189]"
1,300,300,1,BranchAndBound,0.602791,11673,"[5,8,16,29,33,47,110,122,123,168,180,203,205,208,213,242,245,265,283,284]"
1,300,300,2,BranchAndBound,0.649147,15041,"[23,61,65,93,114,115,116,117,127,132,142,178,189,190,219,253,257,280,286,291]"
1,300,300,3,BranchAndBound,0.612713,14411,"[1,6,8,20,25,58,62,102,125,126,140,149,154,202,252,256,276,279,281,298]"
1,300,300,4,BranchAndBound,0.644007,13832,"[16,57,58,92,114,120,139,163,170,182,196,207,210,212,224,232,248,259,261,264]"
1,300,300,5,BranchAndBound,0.576711,14070,"[12,42,45,67,84,94,100,114,136,143,151,200,201,202,206,212,214,229,277,289]"
1,300,300,6,BranchAndBound,0.613799,14141,"[7,54,75,105,120,123,138,147,148,158,163,172,173,221,223,227,242,247,252,278]"
1,300,300,7,BranchAndBound,0.629425,15044,"[1,13,61,82,90,101,102,103,115,127,145,167,178,197,202,210,213,229,237,295]"
1,300,300,8,BranchAndBound,0.614249,14398,"[9,23,27,30,48,49,61,81,105,121,134,171,209,211,226,251,256,274,277,291]"
1,300,300,9,BranchAndBound,0.575668,11761,"[5,19,30,44,57,65,75,105,123,130,139,151,173,182,183,202,207,218,256,261]"
1,300,300,10,BranchAndBound,0.615712,13103,"[21,24,30,43,65,75,77,112,120,147,165,213,223,240,250,251,252,268,294,296]"
