experimento,n,W,instancia_id,algoritmo,tempo_seg,lucro_max,itens
2,100,100,1,Dynamic,3.0516e-05,15309,"[13,17,18,24,26,27,29,32,34,37,43,45,46,52,60,62,65,67,70,73,74,81,84,99]"
2,100,100,2,Dynamic,3.3869e-05,14111,"[11,17,18,26,27,32,37,40,42,43,45,49,51,53,61,67,74,76,77,79,85,90]"
2,100,100,3,Dynamic,0.0160773,15681,"[0,1,3,11,16,17,22,23,40,42,45,46,47,49,53,60,63,70,81,83,86,88,90,95]"
2,100,100,4,Dynamic,0.0492283,18835,"[3,8,9,10,21,22,29,32,35,36,39,41,50,51,55,57,58,65,74,80,81,85,87,88,94,97,98]"
2,100,100,5,Dynamic,3.4777e-05,15108,"[0,3,15,21,27,29,32,38,50,52,56,59,82,83,84,89,90,91,96,97,98]"
2,100,100,6,Dynamic,4.197e-05,15098,"[3,6,14,19,22,24,26,28,52,57,58,59,64,65,69,70,72,81,92,93,94,98]"
2,100,100,7,Dynamic,3.5686e-05,16558,"[2,3,12,13,15,20,21,24,29,38,40,53,57,59,60,67,69,72,73,79,80,81,83,92,94,95]"
2,100,100,8,Dynamic,8.7503e-05,11749,"[4,5,17,23,26,28,48,49,54,63,75,77,81,82,83,88,94]"
2,100,100,9,Dynamic,2.4791e-05,13739,"[8,10,11,20,22,23,30,42,43,44,49,52,60,65,69,82,85,95]"
2,200,200,1,Dynamic,0.0637389,23780,"[6,12,22,37,44,47,49,51,55,85,93,95,98,100,113,116,118,126,129,150,156,158,159,160,163,170,175,181,184,196,197,198]"
2,200,200,2,Dynamic,8.8132e-05,22137,"[2,6,17,22,24,37,41,50,58,60,66,67,70,78,81,88,92,101,120,124,137,145,146,152,156,162,173,174,177,183,190]"
2,200,200,3,Dynamic,8.513e-05,20123,"[8,11,15,16,19,24,34,36,51,53,55,67,69,70,80,85,95,111,120,135,139,141,142,151,153,154,159,163,164,165,190,198]"
2,200,200,4,Dynamic,7.9682e-05,19169,"[15,22,24,31,37,39,41,50,68,70,78,89,93,109,122,123,126,137,138,143,153,156,158,165,167,177,179,182,183,184,190,198]"
2,200,200,5,Dynamic,7.8775e-05,21280,"[1,5,16,25,26,36,45,49,50,51,53,59,94,97,98,111,117,119,123,128,137,142,143,144,148,151,171,174]"
2,200,200,6,Dynamic,8.7784e-05,23241,"[4,6,16,19,26,32,53,55,62,65,71,77,83,89,101,110,116,120,132,139,145,146,148,157,164,165,166,168,169,172,199]"
2,200,200,7,Dynamic,8.3525e-05,21818,"[11,14,18,24,26,32,33,48,50,66,83,84,97,101,104,108,115,119,126,136,139,143,146,148,153,162,164,175,177,178,183,191,198]"
2,200,200,8,Dynamic,7.6611e-05,23360,"[11,12,19,23,24,32,33,36,37,52,53,54,57,60,71,72,80,84,89,90,92,99,100,103,143,148,165,173,179,185,193,195,197,198]"
2,200,200,9,Dynamic,7.277e-05,19257,"[0,9,17,23,34,40,42,67,69,76,81,87,98,120,121,123,125,129,141,153,155,169,175,178,183,185,188,192]"
2,200,200,10,Dynamic,8.4016e-05,24914,"[0,5,18,19,21,22,26,27,29,32,35,41,45,53,58,65,66,68,75,83,89,90,95,99,102,121,124,143,144,151,168,175,181,185,186,189,193]"
2,300,300,1,Dynamic,0.00020274,23990,"[5,7,8,16,28,29,33,47,73,79,110,112,122,123,136,153,155,157,159,166,168,180,203,205,208,210,213,225,242,245,248,259,260,265,266,267,271,283,284,294]"
2,300,300,2,Dynamic,0.000165588,29737,"[7,23,24,34,48,61,65,83,90,93,114,115,116,117,118,122,127,130,132,137,139,142,159,178,182,189,190,196,202,219,239,244,250,253,257,265,273,278,279,280,286,288,289,291]"
2,300,300,3,Dynamic,0.000158816,27062,"[1,6,8,9,19,20,25,58,60,62,74,83,84,101,102,106,107,109,125,126,140,143,144,149,154,156,166,168,172,202,220,226,237,252,256,263,276,279,281,298]"
2,300,300,4,Dynamic,0.000157628,28888,"[5,6,8,16,29,31,46,57,58,66,80,85,92,94,114,120,133,134,139,163,164,168,170,180,181,182,196,202,207,210,212,221,224,232,248,259,261,264,271,272,287,288,291]"
2,300,300,5,Dynamic,0.000152183,23973,"[12,42,45,50,61,65,67,77,84,93,94,100,114,116,132,136,143,151,152,163,174,200,201,202,206,212,213,214,227,229,261,274,277,289]"
2,300,300,6,Dynamic,0.000155395,29306,"[7,14,17,27,30,32,35,44,53,54,75,105,120,123,138,147,148,157,158,161,163,168,172,173,187,190,195,200,202,217,221,223,227,238,239,242,247,252,263,278,287]"
2,300,300,7,Dynamic,0.000161823,31420,"[1,13,19,20,24,27,59,60,61,72,75,76,80,82,85,90,93,101,102,103,115,127,135,145,151,162,165,167,178,180,186,187,195,197,202,210,213,229,237,246,259,288,295]"
2,300,300,8,Dynamic,0.000181869,27753,"[9,15,23,27,30,48,49,61,78,81,83,99,105,121,134,135,138,142,159,168,171,182,185,188,209,211,226,230,233,251,252,253,256,271,274,275,277,281,284,291]"
2,300,300,9,Dynamic,0.000209107,23016,"[5,16,19,26,30,35,44,52,55,57,65,75,87,105,123,130,139,140,151,169,173,175,182,183,189,192,199,202,207,211,218,229,235,241,256,261,268]"
2,300,300,10,Dynamic,0.000160848,29088,"[7,11,21,24,30,38,41,43,48,65,68,75,77,82,88,95,101,110,112,120,123,127,145,146,147,165,174,176,178,182,196,213,223,237,240,250,251,252,268,281,294,296]"
2,400,400,1,Dynamic,0.000278185,31997,"[4,5,18,25,26,34,35,40,44,46,57,76,83,86,93,107,113,114,119,123,125,127,145,147,156,161,171,172,187,190,193,208,222,227,243,249,264,267,283,304,326,341,355,365,366,370,373,379,385,389]"
2,400,400,2,Dynamic,0.000368006,29354,"[8,15,21,22,23,43,71,72,75,89,91,96,97,99,102,108,116,169,172,175,188,189,190,202,203,209,210,239,242,251,259,260,267,279,284,290,305,313,316,319,324,326,368,373,381,383,388]"
2,400,400,3,Dynamic,0.000251929,32758,"[12,20,43,51,52,53,55,67,71,72,75,84,91,92,100,101,112,117,152,155,167,168,183,190,195,203,213,226,236,237,253,262,282,284,285,289,293,298,299,307,313,331,338,379,380,382,386,391]"
